# Field minima and maxima
# Time        	field         	min           	location(min) 	max           	location(max) 
1             	betaCorr      	1.000000e+00	(-6.199677e+00 8.009025e-06 5.000000e-01)	4.806193e+00	(6.707150e-01 1.188532e-01 5.000000e-01)
2             	betaCorr      	1.000000e+00	(-6.199677e+00 8.009025e-06 5.000000e-01)	4.806716e+00	(1.412286e-01 8.529515e-02 5.000000e-01)
3             	betaCorr      	1.000000e+00	(-6.199677e+00 8.009025e-06 5.000000e-01)	4.806858e+00	(7.061310e-01 8.529734e-02 5.000000e-01)
4             	betaCorr      	1.000000e+00	(-6.199677e+00 8.009025e-06 5.000000e-01)	4.806860e+00	(7.027419e-01 8.923042e-02 5.000000e-01)
5             	betaCorr      	1.000000e+00	(-6.199677e+00 8.009025e-06 5.000000e-01)	4.806860e+00	(7.166695e-01 7.580137e-02 5.000000e-01)
6             	betaCorr      	1.000000e+00	(-6.199677e+00 8.009025e-06 5.000000e-01)	4.806857e+00	(6.993868e-01 9.336968e-02 5.000000e-01)
7             	betaCorr      	1.000000e+00	(-6.199677e+00 8.009025e-06 5.000000e-01)	4.806853e+00	(6.940364e-01 9.713259e-02 5.000000e-01)
8             	betaCorr      	1.000000e+00	(-6.199677e+00 8.009025e-06 5.000000e-01)	4.806832e+00	(7.352487e-01 8.660042e-02 5.000000e-01)
9             	betaCorr      	1.000000e+00	(-6.199677e+00 8.009025e-06 5.000000e-01)	4.806826e+00	(7.488951e-01 7.790622e-02 5.000000e-01)
10            	betaCorr      	1.000000e+00	(-6.199677e+00 8.009025e-06 5.000000e-01)	4.806816e+00	(7.651083e-01 6.893756e-02 5.000000e-01)
11            	betaCorr      	1.000000e+00	(-6.199677e+00 8.009025e-06 5.000000e-01)	4.806776e+00	(7.777040e-01 6.298314e-02 5.000000e-01)
12            	betaCorr      	1.000000e+00	(-6.199677e+00 8.009025e-06 5.000000e-01)	4.806738e+00	(7.620140e-01 7.609900e-02 5.000000e-01)
13            	betaCorr      	1.000000e+00	(-6.199677e+00 8.009025e-06 5.000000e-01)	4.806597e+00	(7.022449e-01 9.957965e-02 5.000000e-01)
14            	betaCorr      	1.000000e+00	(-6.199677e+00 8.009025e-06 5.000000e-01)	4.806391e+00	(6.983470e-01 1.000522e-01 5.000000e-01)
15            	betaCorr      	1.000000e+00	(-6.199677e+00 8.009025e-06 5.000000e-01)	4.806385e+00	(7.058313e-01 9.671302e-02 5.000000e-01)
16            	betaCorr      	1.000000e+00	(-6.199677e+00 8.009025e-06 5.000000e-01)	4.806156e+00	(7.018983e-01 9.715074e-02 5.000000e-01)
17            	betaCorr      	1.000000e+00	(-6.199677e+00 8.009025e-06 5.000000e-01)	4.805958e+00	(7.018983e-01 9.715074e-02 5.000000e-01)
18            	betaCorr      	1.000000e+00	(-6.199677e+00 8.009025e-06 5.000000e-01)	4.805967e+00	(7.548959e-01 7.441287e-02 5.000000e-01)
