# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
1               	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	6.94102580e+01	(1.45827139e-03 7.71228681e-04 5.00000000e-02)	5
2               	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	6.94190292e+01	(1.45827139e-03 6.86953385e-04 5.00000000e-02)	5
3               	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	6.94314471e+01	(-5.98615221e-04 1.42117577e-06 5.00000000e-02)	5
4               	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	6.94516409e+01	(-5.98615221e-04 2.01746483e-06 5.00000000e-02)	5
5               	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	6.94732635e+01	(-5.98615221e-04 2.01746483e-06 5.00000000e-02)	5
6               	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	6.94970384e+01	(-5.98615221e-04 2.63079418e-06 5.00000000e-02)	5
7               	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	6.95220793e+01	(-5.98615221e-04 2.63079418e-06 5.00000000e-02)	5
8               	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	6.95478111e+01	(-5.98615221e-04 3.26165077e-06 5.00000000e-02)	5
9               	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	6.95753395e+01	(-5.98615221e-04 3.26165077e-06 5.00000000e-02)	5
10              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	6.96031007e+01	(-5.98615221e-04 3.26165077e-06 5.00000000e-02)	5
11              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	6.96321506e+01	(-5.98615221e-04 3.91053549e-06 5.00000000e-02)	5
12              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	6.96621612e+01	(-5.98615221e-04 3.91053549e-06 5.00000000e-02)	5
13              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	6.96924038e+01	(-5.98615221e-04 3.91053549e-06 5.00000000e-02)	5
14              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	6.97239857e+01	(-5.98615221e-04 4.57796353e-06 5.00000000e-02)	5
15              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	6.97563317e+01	(-5.98615221e-04 4.57796353e-06 5.00000000e-02)	5
16              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	6.97888374e+01	(-5.98615221e-04 4.57796353e-06 5.00000000e-02)	5
17              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	6.98224795e+01	(-5.98615221e-04 5.26446480e-06 5.00000000e-02)	5
18              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	6.98569369e+01	(-5.98615221e-04 5.26446480e-06 5.00000000e-02)	5
19              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	6.98915709e+01	(-5.98615221e-04 5.26446480e-06 5.00000000e-02)	5
